ID;LONG;LAT;SETCENS;AREAP;CODDIST;DISTRITO;CODSUBPREF;SUBPREF;REGIAO5;REGIAO8;NOME;ESPACO;ENDERECO;TELEFONE;BAIRRO;CEP;CT_TIPO;CT_DEPADM;INAUGURACAO;ASSENTOS
97;-46,572442;-23,552249;355030801000118;3550308005039;1;AGUA RASA;25;MOOCA;Leste;Leste 1;Paulo Sergio Milliet;;Pça. Ituzaingás s/n;6671-4974;Mooca;03334-02;2;1;1956/09/07;
136;-46,572442;-23,552249;355030801000118;3550308005039;1;AGUA RASA;25;MOOCA;Leste;Leste 1;Bosque de Leitura Guarapiranga;;Praça Ituzaingo, s/n;;Mooca;03334-02;2;1;;
7;-46,700538;-23,557571;355030802000060;3550308005106;2;ALTO DE PINHEIROS;11;PINHEIROS;Oeste;Oeste;Alvaro Guerra;;R Pedroso de Morais, 1.919;3031-7784;Pinheiros;05419-00;2;1;1955/05/15;
255;-46,704726;-23,559321;355030802000039;3550308005106;2;ALTO DE PINHEIROS;11;PINHEIROS;Oeste;Oeste;AteliÛ Ely Bueno;;Pc Silveira Santos, 2;;Alto de Pinheiros;;4;4;;
314;-46,698394;-23,553036;355030802000037;3550308005106;2;ALTO DE PINHEIROS;11;PINHEIROS;Oeste;Oeste;Estádio  Quinn;;R Ourania, 231;3814-6720;Vila Madalena;;4;4;;
530;-46,697088;-23,555623;355030802000059;3550308005106;2;ALTO DE PINHEIROS;11;PINHEIROS;Oeste;Oeste;Museu da Pessoa;;R Natingui. 1100;2144-7150/7151;Pinheiros;;5;4;1991;
917;-46,722188;-23,550518;355030802000043;3550308005106;2;ALTO DE PINHEIROS;11;PINHEIROS;Oeste;Oeste;Shopping Villa-Lobos (Cinemark);Sala 1;Av das Nac§es Unidas, 4.777, pizo lazer;3024-3860;Jardim Universidade;;7;4;;291
918;-46,722188;-23,550518;355030802000043;3550308005106;2;ALTO DE PINHEIROS;11;PINHEIROS;Oeste;Oeste;Shopping Villa-Lobos (Cinemark);Sala 2;Av das Nac§es Unidas, 4.777, pizo lazer;3024-3860;Jardim Universidade;;7;4;;120
919;-46,722188;-23,550518;355030802000043;3550308005106;2;ALTO DE PINHEIROS;11;PINHEIROS;Oeste;Oeste;Shopping Villa-Lobos (Cinemark);Sala 3;Av das Nac§es Unidas, 4.777, pizo lazer;3024-3860;Jardim Universidade;;7;4;;144
920;-46,722188;-23,550518;355030802000043;3550308005106;2;ALTO DE PINHEIROS;11;PINHEIROS;Oeste;Oeste;Shopping Villa-Lobos (Cinemark);Sala 4;Av das Nac§es Unidas, 4.777, pizo lazer;3024-3860;Jardim Universidade;;7;4;;178
