"Input";"Coordinates"
" ERROR! Input:inicioLentidAo"
"REPUBLICA ARABE SIRIA VD INDIANOPOLIS";"-23.6078081,-46.6527595"
"JAMARIS";"39.214924,-76.88422300000002"
"JAMARIS";"39.214924,-76.88422300000002"
"JAMARIS";"39.214924,-76.88422300000002"
"VILA GUILHERME";"-23.515302,-46.607943699999964"
"VILA GUILHERME";"-23.515302,-46.607943699999964"
"VILA GUILHERME";"-23.515302,-46.607943699999964"
"VILA GUILHERME";"-23.515302,-46.607943699999964"
"350 M DEPOIS DE JUSCELINO KUBITSCHEK";"-23.6019344,-46.662337500000035"
" ERROR! Input:350 M DEPOIS DE JUSCELINO KUBITSCHEK"
"VILA GUILHERME";"-23.515302,-46.607943699999964"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
"ARAPANES";"-23.6019344,-46.662337500000035"
"MIRUNA";"42.9909026,-71.47344069999997"
"VILA GUILHERME";"-23.515302,-46.607943699999964"
"ARAPANES";"-23.6019344,-46.662337500000035"
"MIRUNA";"42.9909026,-71.47344069999997"
"VILA GUILHERME";"-23.515302,-46.607943699999964"
"MIRUNA";"42.9909026,-71.47344069999997"
" ERROR! Input:MIRUNA"
"R RIBEIRO DO VALE";"-23.6096055,-46.6849598"
" ERROR! Input:TAKEO YOSHIMURA INICIO VD WLUIS"
"MIRUNA";"42.9909026,-71.47344069999997"
"R RIBEIRO DO VALE";"-23.6096055,-46.6849598"
"DORIA TERM VD W LUIS";"-23.5632103,-46.6542503"
" ERROR! Input:DORIA TERM VD W LUIS"
"MIRUNA";"42.9909026,-71.47344069999997"
"R RIBEIRO DO VALE";"-23.6096055,-46.6849598"
" ERROR! Input:DORIA TERM VD W LUIS"
" ERROR! Input:DORIA TERM VD W LUIS"
" ERROR! Input:90 M DEPOIS DE GERALDO PACHECO VALENTE OPOSTO"
" ERROR! Input:90 M DEPOIS DE GERALDO PACHECO VALENTE OPOSTO"
"R CONCEICAO DE MONTE ALEGRE";"-23.6073046,-46.68828050000002"
"ARY TORRES";"-23.6525068,-46.71259570000001"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"LG DO SOCORRO";"31.5866568,-106.27165980000001"
"ARY TORRES";"-23.6525068,-46.71259570000001"
" ERROR! Input:100 M DEPOIS DE  OPOSTO A VIA"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
" ERROR! Input:ALIOMAR BALEEIRO INICIO"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"EMBOQUE";"-23.1491738,-45.887776599999995"
"LG DO SOCORRO";"31.5866568,-106.27165980000001"
" ERROR! Input:1920 M DEPOIS DE PTE ENG ARY TORRES"
"ARY TORRES";"-23.6525068,-46.71259570000001"
"R ANTONIO DE BARROS";"-23.54304,-46.556652799999995"
"R WANDENKOLK";"-23.5527658,-46.62367219999999"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"MAUA";"-23.668163,-46.46170859999995"
" ERROR! Input:ALIOMAR BALEEIRO INICIO"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"VD GRANDE SAO PAULO";"-23.5875087,-46.59311960000002"
"LG DO SOCORRO";"31.5866568,-106.27165980000001"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
" ERROR! Input:1920 M DEPOIS DE PTE ENG ARY TORRES"
" ERROR! Input:1920 M DEPOIS DE PTE ENG ARY TORRES"
"ARY TORRES";"-23.6525068,-46.71259570000001"
"TUCUMA";"-6.747266799999999,-51.163059299999986"
" ERROR! Input:ALIOMAR BALEEIRO TERMINO"
"R ANTONIO DE BARROS";"-23.54304,-46.556652799999995"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"MAUA";"-23.668163,-46.46170859999995"
"R RIBEIRO DO VALE";"-23.6096055,-46.6849598"
"LG DO SOCORRO";"31.5866568,-106.27165980000001"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"TUCUMA";"-6.747266799999999,-51.163059299999986"
"MAUA";"-23.668163,-46.46170859999995"
"LG DO SOCORRO";"31.5866568,-106.27165980000001"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"TUCUMA";"-6.747266799999999,-51.163059299999986"
"MAUA";"-23.668163,-46.46170859999995"
"LG DO SOCORRO";"31.5866568,-106.27165980000001"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"MAUA";"-23.668163,-46.46170859999995"
"VILA GUILHERME";"-23.515302,-46.607943699999964"
"VD PEDROSO";"-30.1615171,-53.56154019999997"
"AV ALCANTARA MACHADO";"-23.5476643,-46.60231900000002"
"VILA GUILHERME";"-23.515302,-46.607943699999964"
"PIRATININGA";"-22.4166027,-49.13724309999998"
" ERROR! Input:490 M DEPOIS DE SERRA DE JAIRE"
"PC CAMPO DE BAGATELLE";"-23.5135489,-46.629198299999985"
"R RIBEIRO DE LIMA";"-23.531499,-46.6363144"
"PC DA BANDEIRA";"-14.2807635,-38.99496149999999"
"AV ALCANTARA MACHADO";"-23.5476643,-46.60231900000002"
"ALVARO RAMOS METRO BELEM";"-23.542508,-46.5896568"
"PC CAMPO DE BAGATELLE";"-23.5135489,-46.629198299999985"
"VD STA IFIGENIA";"-23.5385508,-46.639108599999986"
"PC DA BANDEIRA";"-14.2807635,-38.99496149999999"
" ERROR! Input:R COLATINO MARQUES SAIDA  A SENNA I"
" ERROR! Input:AV VINTE E TRES DE MAIO INICIO"
"IPIRANGA";"-23.5854976,-46.599010599999986"
"AV ALCANTARA MACHADO";"-23.5476643,-46.60231900000002"
" ERROR! Input:PC PEROLA BYINGTON"
"R ANGATUBA";"-23.4948382,-48.413792400000034"
"PC OSWALDO CRUZ";"-23.5712591,-46.64422730000001"
"ALVARO RAMOS METRO BELEM";"-23.542508,-46.5896568"
"PC CAMPO DE BAGATELLE";"-23.5135489,-46.629198299999985"
"VD STA IFIGENIA";"-23.5385508,-46.639108599999986"
" ERROR! Input:R COLATINO MARQUES SAIDA  A SENNA I"
" ERROR! Input:AV VINTE E TRES DE MAIO INICIO"
"JABAQUARA VD";"-23.6520732,-46.64752140000002"
"IPIRANGA";"-23.5854976,-46.599010599999986"
"AV ALCANTARA MACHADO";"-23.5476643,-46.60231900000002"
"R ANGATUBA";"-23.4948382,-48.413792400000034"
